,Id,PostId,Score,Text,CreationDate,UserDisplayName,UserId,positivity_score,negativity_score
0,38814080,24964538,0,"['php', 'file', 'get', 'sever', 'databas', 'result', 'array', 'string', 'need', 'show', '3', 'differ', 'tpl', 'file', 'tri', 'smarti', 'display', 'updat']",2014-07-26 10:45:07,,2005071.0,0.0,0.0
1,38814081,24926353,0,"['alway', 'way', 'thing', 'depend', 'use', 'case', 'need', 'hit', 'method', 'param', 'case', ""won't"", 'realli', 'good', 'option']",2014-07-26 10:45:10,,3787750.0,0.06666666666666667,0.0
2,38814083,24969752,0,"['rohitvat', 'use', 'datagrid', 'data', 'entri', 'user', 'enter', 'first', 'row', 'want', 'provid', 'new', 'row', 'user', 'enter', 'new', 'item']",2014-07-26 10:45:17,,3008788.0,0.0,0.0
3,38814084,24969862,0,"['frederickcheung', ""it'"", 'simpl', 'thank', 'help', 'mayb', 'want', 'add', 'answer', 'check', 'question', 'answer']",2014-07-26 10:45:18,,3493998.0,0.08333333333333333,0.0
4,38814085,24970073,0,"['doh', 'miss', 'much', 'appreci', 'start', 'think', 'go', 'crazi']",2014-07-26 10:45:19,,3839120.0,0.0,0.125
5,38814086,24969932,0,"['chang', ""i'm"", 'tri']",2014-07-26 10:45:19,,3794651.0,0.0,0.0
6,38814087,24957753,0,"['frank', 'thank', 'well', 'put', 'name', 'shader']",2014-07-26 10:45:30,,1614697.0,0.3333333333333333,0.0
7,38814090,24967270,0,"['interest', 'question', 'realli', 'program']",2014-07-26 10:45:52,,545127.0,0.25,0.0
8,38814091,24969635,0,"['hors', 'name', 'next', 'time', ""i'll""]",2014-07-26 10:46:00,user3814846,,0.0,0.0
9,38814092,24970167,0,"['user', 'type', 'number', 'want', 'button', 'enabl', 'three', 'textbox', 'contain', 'number']",2014-07-26 10:46:02,,3872762.0,0.0,0.0
10,38814093,24831034,0,"['could', 'pleas', 'show', 'code', 'crop', 'imag']",2014-07-26 10:46:05,,2122991.0,0.0,0.0
11,38814095,24968975,0,"['laun', 'kinda', 'put', 'lie', 'fact', 'assign', 'loop', ""you'v"", 'shown', ""isn't"", 'overwrit', 'previou', 'valu', 'pure', 'pragmat', 'term']",2014-07-26 10:46:29,,157247.0,0.0,0.0
12,38814096,24970115,0,"['use', 'slidingmenu', 'librari', 'one', 'app', 'sinc', 'need', 'backward', 'compat', 'librari', 'outdat', 'work', 'pretti', 'well', 'see', 'mani', 'app', 'use', 'librari', 'like', 'linkedin', 'exampl']",2014-07-26 10:46:30,,1708743.0,0.09090909090909091,0.0
13,38814097,24970131,0,"['need', 'get', '16', 'byte', 'display', 'string', 'via', 'consol', ""don't"", 'know']",2014-07-26 10:46:33,,2475484.0,0.0,0.0
14,38814098,24960941,0,"['thank', 'imag', 'seem', 'littl', 'stretch', 'found', 'follow', 'code', 'work', 'fine', 'right', 'line', 'thank', 'android', 'adjustviewbound', 'true', 'android', 'scaletyp', 'fitcent']",2014-07-26 10:46:35,,532462.0,0.21052631578947367,0.0
15,38814099,24969969,0,"['get', 'typecast', 'error', 'see', 'edit', 'answer']",2014-07-26 10:46:38,,3535925.0,0.0,0.0
16,38814100,24932294,0,"['harder', 'initi', 'thought', 'seem', ""don't"", 'complet', 'answer', 'yet', 'still', 'help', 'lot', 'deserv', 'bounti', 'thank', 'congratul']",2014-07-26 10:46:52,,2904025.0,0.06666666666666667,0.0
